PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
518,257,33,39
518,257,33,40
518,254,33,41
518,254,33,42
514,254,37,43
516,254,35,44
516,252,35,45
516,252,35,46
516,252,35,47
533,252,18,48
533,252,18,49
533,252,18,50
533,252,18,51
536,254,15,52
536,254,15,53
536,254,13,54
542,254,9,55
544,254,7,56
544,254,7,57
544,254,7,58
544,254,7,59
549,257,2,60
549,257,2,61
549,259,2,62
549,259,2,63
551,259,0,63
551,259,0,63
551,259,0,63
551,259,0,63
556,259,0,63
556,259,0,63
559,259,0,63
559,259,0,63
559,259,0,63
559,259,0,63
559,259,0,63
559,259,0,63
562,259,0,63
562,259,0,63
562,259,0,63
562,259,0,63
562,261,0,63
567,261,0,63
567,261,0,63
572,263,0,63
572,263,0,63
575,263,0,63
575,263,0,63
579,263,0,63
582,263,0,63
582,263,0,63
587,263,0,63
591,263,0,63
603,263,0,63
603,263,0,63
603,263,0,63
611,265,0,63
620,265,0,63
620,265,0,63
627,267,0,63
630,267,0,63
630,267,0,63
633,267,0,63
640,267,0,63
640,267,0,63
647,267,0,63
647,267,0,63
647,267,0,63
662,267,0,63
662,267,0,63
668,265,0,63
668,265,0,63
668,265,0,63
680,265,0,63
684,265,0,63
693,269,0,63
705,269,0,63
705,269,0,63
705,269,0,63
713,269,0,63
713,269,0,63
713,269,0,63
717,270,0,63
717,270,0,63
726,270,0,63
730,273,0,63
730,273,0,63
739,273,0,63
745,271,0,63
748,271,0,63
748,271,0,63
754,271,0,63
754,271,0,63
763,271,0,63
763,271,0,63
767,271,0,63
780,271,0,63
786,273,0,63
789,273,0,63
789,273,0,63
789,273,0,63
789,273,0,63
789,273,0,63
791,273,0,63
791,273,0,63
791,273,0,63
791,273,0,63
791,273,0,63
795,275,0,63
795,275,0,63
795,275,0,63
795,275,0,63
799,275,0,63
799,275,0,63
799,275,0,63
801,277,0,63
804,279,0,63
804,279,0,63
804,279,0,63
804,279,0,63
804,279,0,63
804,279,0,63
810,279,0,63
810,279,0,63
813,279,0,63
813,279,0,63
813,279,0,63
813,279,0,63
823,279,0,63
823,279,0,63
823,279,0,63
828,279,0,63
835,279,0,63
835,279,0,63
835,279,0,63
835,279,0,63
835,279,0,63
835,279,0,63
845,279,0,63
849,276,0,63
849,276,0,63
854,276,0,63
854,276,0,63
860,274,0,63
860,274,0,63
860,274,0,63
863,274,0,63
863,274,0,63
866,278,0,63
866,278,0,63
866,280,0,63
866,280,0,63
866,280,0,63
866,280,0,63
866,280,0,63
873,280,0,63
876,280,0,63
876,280,0,63
876,282,0,63
876,282,0,63
876,282,0,63
876,282,0,63
876,282,0,63
876,280,0,63
876,280,0,63
876,280,0,63
879,280,0,63
879,280,0,63
879,280,0,63
881,280,0,63
881,280,0,63
881,280,0,63
888,278,0,63
888,278,0,63
892,278,0,63
895,278,0,63
904,276,0,63
904,276,0,63
928,270,0,63
928,270,0,63
928,270,0,63
928,270,0,63
933,270,0,63
933,270,0,63
933,270,0,63
933,270,0,63
933,270,0,63
933,270,0,63
933,270,0,63
937,273,0,63
934,273,0,63
934,273,0,63
934,275,0,63
936,275,0,63
936,275,0,63
941,275,0,63
943,275,0,63
943,275,0,63
951,273,0,63
951,273,0,63
951,273,0,63
954,273,0,63
954,273,0,63
954,273,0,63
956,273,0,63
960,273,0,63
960,273,0,63
960,273,0,63
964,269,0,63
964,269,0,63
964,264,0,63
964,264,0,63
967,264,0,63
967,264,0,63
967,264,0,63
967,261,0,63
967,261,0,63
970,259,0,63
978,257,0,63
978,257,0,63
978,257,0,63
983,254,0,63
986,254,0,63
986,254,0,63
986,254,0,63
986,254,0,63
991,254,0,63
993,257,0,63
999,260,0,63
1003,260,0,63
1003,260,0,63
1003,260,0,63
1003,260,0,63
1003,260,0,63
1003,260,0,63
1005,260,0,63
1005,260,0,63
1005,260,0,63
1008,260,0,63
1012,262,0,63
1012,262,0,63
1012,262,0,63
1012,262,0,63
1012,262,0,63
1012,262,0,63
1012,262,0,63
1021,264,0,63
1021,264,0,63
1021,264,0,63
1025,264,0,63
1025,264,0,63
1028,266,0,63
1028,266,0,63
1028,266,0,63
1024,270,0,63
1024,270,0,63
1024,270,0,63
1021,272,0,63
1021,272,0,63
1021,274,0,63
1021,274,0,63
1019,278,0,63
1019,278,0,63
1019,281,0,63
1019,281,0,63
1019,281,0,63
1019,292,0,63
1019,292,0,63
1019,292,0,63
1019,300,0,63
1016,300,0,63
1016,300,0,63
1016,300,0,63
1016,300,0,63
1014,305,0,63
1014,305,0,63
1010,313,0,63
1010,313,0,63
1010,313,0,63
1010,315,0,63
1010,315,0,63
1010,315,0,63
1008,323,0,63
1008,326,0,63
1008,326,0,63
1008,326,0,63
1008,326,0,63
1008,330,0,63
1008,330,0,63
1008,330,0,63
1008,330,0,63
1005,332,0,63
1005,332,0,63
1005,332,0,63
1005,332,0,63
1005,338,0,63
1005,338,0,63
1005,338,0,63
1005,338,0,63
1001,341,0,63
1001,341,0,63
998,341,0,63
998,341,0,63
993,343,0,63
986,343,0,63
972,335,0,63
972,335,0,63
972,335,0,63
969,335,0,63
969,335,0,63
969,340,0,63
969,345,0,63
969,345,0,63
969,347,0,63
969,347,0,63
969,347,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
966,355,0,63
1037,484,4,64
1037,484,4,65
1037,484,4,66
1037,484,4,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
696,428,0,67
735,439,0,67
887,679,32,68
852,696,0,68
852,696,0,68
877,694,22,69
877,694,22,70
877,694,22,71
940,649,85,72
940,649,85,73
940,649,85,74
940,649,85,75
940,649,85,76
940,649,85,77
940,649,85,78
940,649,85,79
940,649,85,80
940,649,85,81
940,649,85,82
940,649,85,83
940,649,85,84
940,649,85,85
940,649,85,86
940,649,85,87
940,649,85,88
940,649,85,89
940,649,85,90
940,649,85,91
935,613,80,92
935,613,80,93
935,609,80,94
935,609,80,95
935,609,80,96
935,605,80,97
935,605,80,98
932,600,77,99
932,600,77,100
932,600,77,101
932,600,77,102
932,600,77,103
