PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
539,624,30,53
539,627,30,54
543,636,26,55
543,636,26,56
543,641,26,57
543,646,26,58
543,649,26,59
543,649,26,60
547,649,9,61
560,649,9,62
585,636,0,62
585,636,0,62
585,636,0,62
585,636,0,62
585,636,0,62
646,599,0,62
646,599,0,62
646,599,0,62
646,599,0,62
646,599,0,62
646,599,0,62
657,599,0,62
657,599,0,62
661,599,0,62
661,599,0,62
661,599,0,62
661,599,0,62
661,611,0,62
661,611,0,62
661,611,0,62
646,619,0,62
646,619,0,62
626,629,0,62
626,629,0,62
602,636,0,62
602,636,0,62
602,636,0,62
602,636,0,62
598,636,0,62
598,636,0,62
598,636,0,62
602,636,0,62
602,636,0,62
626,639,0,62
633,639,0,62
633,639,0,62
633,639,0,62
633,639,0,62
646,621,0,62
646,621,0,62
646,617,0,62
646,617,0,62
646,617,0,62
646,617,0,62
641,604,0,62
641,604,0,62
636,605,0,62
636,605,0,62
636,605,0,62
640,605,0,62
640,605,0,62
640,611,0,62
640,611,0,62
640,611,0,62
640,615,0,62
651,605,0,62
651,605,0,62
651,605,0,62
651,605,0,62
651,605,0,62
651,600,0,62
651,600,0,62
647,600,0,62
644,586,0,62
644,586,0,62
644,586,0,62
644,586,0,62
644,586,0,62
644,586,0,62
653,574,0,62
651,569,0,62
651,569,0,62
651,559,0,62
651,554,0,62
651,548,0,62
651,541,0,62
651,528,0,62
656,520,0,62
656,520,0,62
659,512,0,62
659,499,0,62
659,499,0,62
659,499,0,62
659,486,0,62
656,481,0,62
656,478,0,62
654,467,0,62
654,467,0,62
654,467,0,62
654,467,0,62
654,460,0,62
659,456,0,62
659,456,0,62
659,456,0,62
656,452,0,62
656,452,0,62
656,452,0,62
658,443,0,62
658,443,0,62
665,437,0,62
665,437,0,62
665,437,0,62
665,437,0,62
665,427,0,62
665,427,0,62
667,412,0,62
667,412,0,62
667,412,0,62
667,410,0,62
667,410,0,62
667,410,0,62
667,405,0,62
667,405,0,62
667,405,0,62
667,405,0,62
663,391,0,62
663,386,0,62
663,386,0,62
663,386,0,62
663,378,0,62
663,375,0,62
663,375,0,62
663,375,0,62
663,375,0,62
665,365,0,62
665,365,0,62
665,365,0,62
665,362,0,62
665,362,0,62
665,362,0,62
665,351,0,62
665,351,0,62
672,351,0,62
672,346,0,62
672,339,0,62
672,339,0,62
668,336,0,62
668,336,0,62
668,336,0,62
668,336,0,62
668,336,0,62
664,333,0,62
664,327,0,62
670,323,0,62
670,323,0,62
670,318,0,62
670,318,0,62
670,318,0,62
666,310,0,62
666,307,0,62
662,302,0,62
657,294,0,62
657,294,0,62
659,289,0,62
662,281,0,62
662,281,0,62
658,277,0,62
658,277,0,62
658,277,0,62
658,277,0,62
658,277,0,62
658,270,0,62
658,264,0,62
658,264,0,62
658,264,0,62
658,264,0,62
658,264,0,62
658,259,0,62
663,254,0,62
663,254,0,62
663,247,0,62
663,247,0,62
658,238,0,62
658,238,0,62
658,238,0,62
649,228,0,62
649,228,0,62
649,228,0,62
649,228,0,62
649,228,0,62
646,222,0,62
638,214,0,62
638,214,0,62
638,214,0,62
635,214,0,62
635,210,0,62
630,207,0,62
630,207,0,62
630,207,0,62
630,200,0,62
630,207,0,62
630,200,0,62
630,200,3,63
630,195,6,64
630,192,6,65
630,192,6,66
627,187,11,67
627,183,15,68
627,183,15,69
631,176,22,70
631,172,26,71
631,172,26,72
631,172,26,73
631,168,30,74
631,168,30,75
631,168,30,76
631,168,30,77
628,181,17,78
628,181,17,79
620,196,2,80
620,196,2,81
620,196,2,82
620,196,2,83
620,196,2,84
615,201,0,84
615,201,0,84
611,201,0,84
615,207,0,84
615,207,0,84
611,207,0,84
611,207,0,84
611,207,0,84
611,209,0,84
611,209,0,84
611,209,0,84
611,209,0,84
611,209,0,84
611,209,0,84
611,209,0,84
611,209,0,84
622,204,0,84
622,204,0,84
642,204,0,84
642,204,0,84
642,204,0,84
645,206,0,84
645,206,0,84
649,206,0,84
649,206,0,84
649,206,0,84
654,206,0,84
654,206,0,84
654,206,0,84
662,206,0,84
662,206,0,84
662,206,0,84
667,206,0,84
686,206,0,84
686,206,0,84
686,206,0,84
686,206,0,84
686,206,0,84
692,206,0,84
701,209,0,84
707,209,0,84
707,209,0,84
713,209,0,84
713,209,0,84
718,209,0,84
718,209,0,84
740,211,0,84
740,211,0,84
740,211,0,84
740,211,0,84
740,211,0,84
744,211,0,84
757,211,0,84
757,211,0,84
766,211,0,84
766,211,0,84
766,211,0,84
772,213,0,84
772,213,0,84
785,213,0,84
785,213,0,84
793,215,0,84
793,215,0,84
807,215,0,84
818,215,0,84
822,212,0,84
