PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
551 , 617 , 18 , 1
560 , 627 , 9 , 2
562 , 632 , 7 , 3
562 , 633 , 7 , 4
562 , 633 , 7 , 5
562 , 633 , 7 , 6
562 , 633 , 7 , 7
562 , 633 , 7 , 8
562 , 633 , 7 , 9
562 , 633 , 7 , 10
562 , 633 , 7 , 11
562 , 633 , 7 , 12
562 , 633 , 7 , 13
562 , 633 , 7 , 14
562 , 633 , 7 , 15
562 , 633 , 7 , 16
562 , 633 , 7 , 17
562 , 633 , 7 , 18
562 , 633 , 7 , 19
562 , 633 , 7 , 20
562 , 633 , 7 , 21
538 , 597 , 31 , 22
538 , 597 , 31 , 23
538 , 597 , 31 , 24
538 , 597 , 31 , 25
538 , 597 , 31 , 26
538 , 597 , 31 , 27
538 , 597 , 31 , 28
538 , 597 , 31 , 29
538 , 597 , 31 , 30
538 , 597 , 31 , 31
538 , 597 , 31 , 32
538 , 597 , 31 , 33
538 , 597 , 31 , 34
538 , 597 , 31 , 35
663 , 608 , 0 , 35
663 , 608 , 0 , 35
663 , 608 , 0 , 35
663 , 608 , 0 , 35
663 , 608 , 0 , 35
663 , 608 , 0 , 35
663 , 607 , 0 , 35
650 , 602 , 0 , 35
645 , 602 , 0 , 35
643 , 602 , 0 , 35
643 , 602 , 0 , 35
643 , 602 , 0 , 35
643 , 602 , 0 , 35
643 , 602 , 0 , 35
643 , 600 , 0 , 35
643 , 600 , 0 , 35
643 , 600 , 0 , 35
643 , 600 , 0 , 35
643 , 600 , 0 , 35
643 , 600 , 0 , 35
643 , 600 , 0 , 35
643 , 598 , 0 , 35
632 , 595 , 0 , 35
628 , 595 , 0 , 35
623 , 588 , 0 , 35
628 , 582 , 0 , 35
628 , 582 , 0 , 35
628 , 582 , 0 , 35
628 , 582 , 0 , 35
628 , 582 , 0 , 35
628 , 582 , 0 , 35
628 , 577 , 0 , 35
626 , 568 , 0 , 35
626 , 560 , 0 , 35
626 , 550 , 0 , 35
626 , 543 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
626 , 542 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
619 , 497 , 0 , 35
621 , 470 , 0 , 35
621 , 468 , 0 , 35
621 , 468 , 0 , 35
621 , 467 , 0 , 35
621 , 467 , 0 , 35
621 , 467 , 0 , 35
621 , 467 , 0 , 35
621 , 467 , 0 , 35
621 , 467 , 0 , 35
621 , 467 , 0 , 35
