PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
607,263,0,0
613,263,0,0
613,263,0,0
615,263,0,0
615,263,0,0
623,265,0,0
623,265,0,0
615,288,0,0
615,288,0,0
615,288,0,0
615,288,0,0
615,288,0,0
608,296,0,0
571,288,0,0
571,288,0,0
571,288,0,0
566,284,0,0
556,279,0,0
556,277,0,0
560,277,0,0
560,277,0,0
560,274,0,0
560,274,0,0
560,274,0,0
557,274,0,0
557,271,0,0
557,269,0,0
557,269,0,0
557,269,0,0
562,269,0,0
562,269,0,0
562,269,0,0
562,269,0,0
562,269,0,0
562,269,0,0
562,269,0,0
562,273,0,0
574,276,0,0
578,276,0,0
578,276,0,0
595,276,0,0
595,276,0,0
602,276,0,0
608,276,0,0
613,276,0,0
613,276,0,0
634,271,0,0
634,271,0,0
634,271,0,0
642,269,0,0
642,269,0,0
654,261,0,0
656,261,0,0
660,258,0,0
675,255,0,0
678,255,0,0
686,255,0,0
690,255,0,0
706,254,0,0
706,254,0,0
706,254,0,0
718,254,0,0
729,255,0,0
735,255,0,0
752,255,0,0
752,255,0,0
752,255,0,0
752,255,0,0
766,255,0,0
766,255,0,0
766,255,0,0
766,255,0,0
766,255,0,0
771,255,0,0
771,255,0,0
779,253,0,0
781,253,0,0
781,253,0,0
788,253,0,0
791,253,0,0
791,253,0,0
800,253,0,0
803,253,0,0
803,253,0,0
813,253,0,0
817,253,0,0
828,253,0,0
828,253,0,0
843,253,0,0
843,253,0,0
843,253,0,0
843,253,0,0
852,253,0,0
852,253,0,0
865,250,0,0
865,250,0,0
869,250,0,0
869,250,0,0
873,250,0,0
875,250,0,0
875,250,0,0
875,250,0,0
879,250,0,0
884,250,0,0
888,250,0,0
891,250,0,0
896,253,0,0
900,253,0,0
900,253,0,0
907,253,0,0
907,253,0,0
907,253,0,0
914,256,0,0
917,256,0,0
917,256,0,0
927,258,0,0
927,258,0,0
927,258,0,0
927,258,0,0
927,258,0,0
924,258,0,0
924,258,0,0
921,258,0,0
921,258,0,0
921,258,0,0
916,258,0,0
916,258,0,0
913,258,0,0
913,258,0,0
908,258,0,0
908,258,0,0
908,258,0,0
904,258,0,0
904,258,0,0
904,258,0,0
904,258,0,0
907,258,0,0
907,261,0,0
907,261,0,0
907,262,0,0
907,262,0,0
907,262,0,0
907,262,0,0
907,262,0,0
907,262,0,0
907,259,0,0
907,259,0,0
907,259,0,0
907,259,0,0
914,261,0,0
914,261,0,0
914,261,0,0
914,261,0,0
914,261,0,0
902,261,0,0
902,261,0,0
902,261,0,0
898,261,0,0
898,261,0,0
898,261,0,0
901,264,0,0
901,264,0,0
901,264,0,0
901,266,0,0
901,266,0,0
897,266,0,0
897,266,0,0
897,266,0,0
897,266,0,0
897,266,0,0
897,266,0,0
897,264,0,0
909,264,0,0
924,266,0,0
924,266,0,0
924,266,0,0
930,266,0,0
930,266,0,0
932,268,0,0
932,271,0,0
932,271,0,0
937,271,0,0
940,272,0,0
940,272,0,0
944,272,0,0
948,275,0,0
948,275,0,0
948,275,0,0
948,275,0,0
956,277,0,0
961,277,0,0
961,277,0,0
970,279,0,0
970,279,0,0
975,279,0,0
975,279,0,0
975,277,0,0
975,277,0,0
978,274,0,0
980,272,0,0
980,272,0,0
985,272,0,0
985,272,0,0
989,272,0,0
993,272,0,0
996,272,0,0
996,272,0,0
1002,275,0,0
1004,277,0,0
1007,277,0,0
1007,277,0,0
1007,277,0,0
1016,277,0,0
1016,277,0,0
1016,277,0,0
1016,277,0,0
1016,277,0,0
1021,277,0,0
1017,277,0,0
1017,277,0,0
1017,277,0,0
1017,277,0,0
1017,277,0,0
1008,277,0,0
1008,277,0,0
1008,277,0,0
1002,277,0,0
1002,277,0,0
1002,277,0,0
991,275,0,0
991,275,0,0
991,275,0,0
991,275,0,0
988,275,0,0
988,275,0,0
988,275,0,0
988,279,0,0
991,282,0,0
991,282,0,0
988,287,0,0
988,287,0,0
988,287,0,0
988,287,0,0
980,290,0,0
980,290,0,0
980,290,0,0
980,290,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
980,298,0,0
970,345,0,0
970,345,0,0
970,345,0,0
974,343,0,0
983,343,0,0
983,343,0,0
996,343,0,0
996,343,0,0
1009,343,0,0
1009,343,0,0
1032,344,0,0
1032,344,0,0
1032,344,0,0
1041,340,8,1
1041,340,8,2
1045,338,12,3
1045,338,12,4
1045,338,12,5
1045,338,12,6
1045,338,12,7
1033,340,0,7
1033,340,0,7
1027,340,0,7
1016,344,0,7
1016,344,0,7
1013,351,0,7
1013,351,0,7
1013,351,0,7
1009,351,0,7
1009,351,0,7
1009,351,0,7
1004,354,0,7
1004,354,0,7
1004,360,0,7
1004,360,0,7
1004,360,0,7
1004,360,0,7
1004,360,0,7
999,373,144,8
999,373,144,9
999,373,144,10
999,373,144,11
999,373,144,12
999,373,144,13
999,373,144,14
999,373,144,15
999,373,144,16
999,373,144,17
999,373,144,18
999,373,144,19
999,373,144,20
999,373,144,21
999,373,144,22
999,373,144,23
999,373,144,24
999,373,144,25
999,373,144,26
999,373,144,27
999,373,144,28
999,373,144,29
999,373,144,30
999,373,144,31
999,373,144,32
999,373,144,33
923,385,68,34
923,385,68,35
923,385,68,36
923,385,68,37
923,385,68,38
923,385,68,39
923,385,68,40
923,389,68,41
923,390,68,42
921,401,66,43
921,401,66,44
921,401,66,45
916,408,61,46
916,408,61,47
913,412,58,48
913,414,58,49
913,414,58,50
913,414,58,51
913,414,58,52
913,416,58,53
913,416,58,54
911,419,56,55
911,419,56,56
911,427,56,57
911,427,56,58
917,442,62,59
917,442,62,60
917,442,62,61
917,442,62,62
917,442,62,63
917,442,62,64
917,442,62,65
917,442,62,66
917,442,62,67
917,450,62,68
917,450,62,69
917,453,62,70
917,453,62,71
917,453,62,72
913,461,58,73
913,461,58,74
913,461,58,75
913,461,58,76
913,461,58,77
913,461,58,78
913,461,58,79
913,461,58,80
913,461,58,81
913,461,58,82
913,461,58,83
913,461,58,84
913,461,58,85
913,461,58,86
913,461,58,87
913,461,58,88
913,461,58,89
913,461,58,90
913,461,58,91
913,461,58,92
924,577,69,93
924,577,69,94
924,577,69,95
924,577,69,96
924,577,69,97
924,577,69,98
938,577,83,99
938,577,83,100
938,577,83,101
938,577,83,102
938,577,83,103
938,577,83,104
925,555,70,105
921,564,66,106
921,564,66,107
914,564,59,108
911,564,56,109
908,564,53,110
908,564,53,111
905,572,50,112
905,572,50,113
905,572,50,114
902,586,47,115
902,586,47,116
902,586,47,117
898,589,43,118
898,596,43,119
901,604,46,120
904,611,49,121
904,616,49,122
908,620,53,123
908,620,53,124
908,620,53,125
908,620,53,126
911,630,56,127
915,636,60,128
918,642,63,129
918,642,63,130
918,642,63,131
918,642,63,132
918,642,63,133
918,642,63,134
918,642,63,135
918,645,63,136
921,650,66,137
921,658,66,138
915,661,60,139
915,659,60,140
915,659,60,141
