PositionX , PositionY , Number_of_slip_offs, Line/corridor_following_distance_error 
605,525,0,0
607,521,0,0
607,518,0,0
607,518,0,0
602,518,0,0
602,518,0,0
599,508,0,0
599,508,0,0
599,508,0,0
597,503,0,0
597,503,0,0
597,503,0,0
600,494,0,0
600,494,0,0
598,488,0,0
598,483,0,0
598,483,0,0
598,483,0,0
598,483,0,0
594,474,0,0
594,466,0,0
594,466,0,0
596,463,0,0
596,456,0,0
596,453,0,0
596,453,0,0
596,453,0,0
596,440,0,0
596,440,0,0
596,430,0,0
596,430,0,0
596,430,0,0
594,425,0,0
594,420,0,0
594,420,0,0
594,406,0,0
589,385,0,0
586,374,0,0
586,374,0,0
586,371,0,0
586,368,0,0
580,364,0,0
577,364,0,0
575,361,0,0
569,358,0,0
564,358,1,5
564,358,2,5
559,354,3,10
559,354,4,10
559,354,5,10
547,347,6,22
547,345,7,22
539,338,8,30
539,336,9,30
539,336,10,30
532,329,11,37
532,326,12,37
532,326,13,37
527,321,14,42
527,321,15,42
527,321,16,42
524,317,17,45
524,317,18,45
524,317,19,45
524,317,20,45
524,317,21,45
514,321,22,55
514,321,23,55
514,321,24,55
504,325,25,65
485,330,26,84
478,336,27,91
453,348,28,116
453,348,29,116
453,348,30,116
453,348,31,116
447,350,32,122
429,354,33,140
429,354,34,140
429,354,35,140
422,357,36,147
436,359,37,133
453,359,38,116
461,359,39,108
480,363,40,89
523,372,41,46
549,372,42,20
549,372,43,20
549,372,44,20
563,368,45,6
575,366,45,0
580,366,45,0
588,363,45,0
588,363,45,0
591,363,45,0
594,359,45,0
594,359,45,0
594,357,45,0
598,354,45,0
598,354,45,0
600,354,45,0
600,354,45,0
604,357,45,0
604,357,45,0
604,357,45,0
608,357,45,0
608,357,45,0
618,360,45,0
618,360,45,0
632,362,45,0
632,362,45,0
635,364,45,0
640,364,45,0
646,366,45,0
646,366,45,0
646,366,45,0
646,366,45,0
646,366,45,0
655,366,45,0
655,366,45,0
658,366,45,0
664,366,45,0
664,366,45,0
667,366,45,0
667,366,45,0
674,362,45,0
679,362,45,0
681,362,45,0
685,362,45,0
685,362,45,0
685,362,45,0
685,362,45,0
692,362,45,0
692,362,45,0
692,362,45,0
692,362,45,0
700,362,45,0
704,362,45,0
706,362,45,0
717,362,45,0
731,365,45,0
731,365,45,0
739,367,45,0
750,369,46,2
750,369,47,2
758,372,48,10
758,372,49,10
758,372,50,10
764,376,51,16
767,376,52,19
767,376,53,19
773,376,54,25
773,376,55,25
773,379,56,25
773,379,57,25
767,387,58,19
754,399,59,6
754,399,60,6
754,399,61,6
754,399,62,6
754,399,63,6
746,421,63,0
743,432,63,0
743,432,63,0
743,432,63,0
743,436,63,0
738,447,63,0
738,447,63,0
738,447,63,0
743,445,63,0
743,445,63,0
743,445,63,0
743,445,63,0
748,428,63,0
748,407,63,0
744,377,63,0
744,371,63,0
744,371,63,0
740,366,63,0
740,366,63,0
729,353,63,0
729,353,63,0
723,343,63,0
723,343,63,0
723,340,63,0
723,340,63,0
719,331,63,0
719,324,63,0
716,319,63,0
